date,NGE_all,NGE_DITM,NGE_ITM,NGE_ATM,NGE_OTM,NGE_DOTM
2021-12-01,2393560.713699789,-35293.65152903463,-1070830.2149546612,196977.3325010487,2286509.6902983487,1016197.5573840863
2021-12-02,2314134.204317988,-133407.51174028876,-1211899.6696829365,-184844.9503226173,2594788.934286326,1249497.4017775068
2021-12-03,2798193.2762908293,-44096.15383247484,-1542003.4247714353,-137851.5203776639,3787317.912292176,734826.4629802268
2021-12-06,2073342.9512295984,66876.2990797344,269554.59669571114,811843.7223680462,556696.1363624006,368372.1967237046
2021-12-07,1896484.0220733322,122218.55854025966,-98914.9608676238,508331.1493219016,1311143.0033509582,53706.27172783855
2021-12-08,1814824.0485786619,-25202.88903135786,719630.6450930964,777777.2481999048,58093.11840672325,284525.9259102936
2021-12-09,1124065.3523214385,830720.3634019002,2042363.7330957882,1361402.3076985544,-1843308.3350185452,-1267112.716856257
2021-12-10,336491.1701631807,355915.6422140629,549410.5539608814,-641961.5293301796,-399947.78600355284,473074.28932196763
2021-12-13,1432312.8485018294,435382.77732599434,1045005.0931703028,530165.3401688929,-451086.6191465161,-127153.74301684694
2021-12-14,514725.49293783493,608637.4568800083,513211.67349433544,-229008.10892255045,596899.785195569,-975015.3137095293
2021-12-15,989101.3856976274,165523.79027794724,144421.0173602684,-81417.21125871409,227419.0725638247,533154.716754295
2021-12-16,1118045.4177030418,42166.84261202619,-1146743.8870539465,-1313417.605993716,2933869.854072585,602170.2140660968
2021-12-17,321747.14809974097,34412.30094895448,-50667.25726021151,-942876.0538950823,531616.1378721944,749262.0204338885
2021-12-20,905633.7635054011,106913.76553283376,655939.4618718517,1138269.0352525134,-1401944.7539198408,406456.25476804026
2021-12-21,1440490.0801218953,83952.61205886697,621496.1693622243,1644829.9087083759,-1260210.8954995659,350422.28549199447
2021-12-22,831808.6597267166,68935.97444659092,-1915175.548116468,272171.5929077072,2241296.8192510563,164579.8212378295
2021-12-23,813728.7765277671,-339570.91695045796,-1807665.3072564413,-635913.727904099,2111784.5042020977,1485094.2244366684
2021-12-24,1396586.437722057,45096.95619432372,-304425.1733622275,163088.4838647726,988498.3108343205,504327.8601908687
2021-12-27,1257014.9098556582,75575.8572417335,-268430.88440171396,159903.39739302732,894171.7122852141,395794.8273373968
2021-12-28,1339353.8609240074,63654.93963625844,-311285.43713203,148271.2282402343,982971.8373125291,455741.292867017
2021-12-29,1589053.7540715104,-452524.47832109523,-1836874.105419174,-563016.751556725,1995293.0570634187,2446176.0323050856
2021-12-30,2108378.4614807414,98422.10524218128,-18525.074839773006,683175.4369581211,1035046.9453075728,310259.0488126378
2021-12-31,2285488.6563060274,122765.1792737971,-1861309.8546962235,-50622.64291079261,3911411.8249180885,163244.14972115704
2022-01-04,2643563.3343825517,-427481.0139015167,-1739693.7552758309,-318087.2343675031,2577121.4013937525,2551703.9365336513
2022-01-05,3048929.767674896,152565.5560438402,250501.6091043161,1461814.0730655128,1078697.2421190534,105351.28734217165
2022-01-06,2864746.990692841,-496850.16070304206,-2043495.0446308688,-582999.3512142322,3272365.4027143344,2715726.144526648
2022-01-07,3483336.68708805,-287049.02421059855,-1489979.3238927294,-107895.07827590453,2916516.961194751,2451743.152272532
2022-01-10,3317518.401721549,-22249.571172381693,-1421043.815749138,-276169.0815374707,2795026.7784174327,2241954.09176311
2022-01-11,3616557.8653504113,-70448.44040535207,-1438112.4729376805,-126623.02370744338,2956219.62696876,2295522.1754321223
2022-01-12,3631730.4550713524,-28597.170151939616,-2004696.3875781693,-206746.17395141535,3984500.37440103,1887269.812351847
2022-01-13,3054004.914661154,-158314.0001380324,-2118264.3456069585,-771911.926954852,3874006.8652855023,2228488.322075494
2022-01-14,2985100.945365346,-385028.2589391935,-2275307.732380259,-1293362.7026068582,3630528.4430677784,3308271.196223878
2022-01-17,3456759.287593521,-269774.07271235494,-2226931.1055491734,-950993.2423900045,4097468.3287919965,2806989.379453051
2022-01-18,3459994.75521509,-126513.88498578346,-585339.2923890621,1281334.4474135097,2026915.4994146344,863597.9857617891
2022-01-19,3085412.572527919,-69064.37800006272,-344144.56143974734,1498287.4531597677,1393032.6635553031,607301.3952526533
2022-01-20,4292913.807699902,-5526.033333678584,-474871.73341124156,580715.0355605278,2993966.229788755,1198630.3090955429
2022-01-21,3610151.9569579437,-59039.2894657462,-1247230.5335724622,444173.62441961747,3623466.8673989247,848781.2881776129
2022-01-24,4125057.4227654915,-189448.08846853152,-1444774.780246463,1471180.04140722,3492627.8084529536,795472.4416203187
2022-01-25,2698232.982178239,-79776.13751397107,81957.28033366275,2301069.018176158,180180.80810120143,214802.0130811883
2022-01-26,74403.70670261886,-498707.69909590547,-1362165.2612463408,-563039.142675275,1358431.8541099343,1139883.9556102054
2022-01-27,521333.8667287873,-505185.97814392054,-1239543.0644341446,-277444.327314376,1386892.0469469205,1156615.189674308
2022-01-28,1077100.284894255,-542531.3766009478,-859049.1272355865,-72773.7868773858,1465414.1720885707,1086040.4035196034
2022-02-07,1758504.4860158814,-405254.5293690233,-962689.340955157,88726.3993703823,2076350.6617598652,961371.2952098136
2022-02-08,1047436.9630961614,-1075364.5010971988,-881020.0393742596,-94281.04429074636,535243.2754931266,2562859.2723652394
2022-02-09,1748123.5434511546,-355866.7234638328,-957616.3203377812,115173.22098484961,2082266.5474677235,864166.8188001933
2022-02-10,1672566.0058769593,-330691.8954040647,-1119854.009713281,-44493.98210670287,2287209.7115666866,880396.1815343203
2022-02-11,2056363.022815911,185927.08150531029,1563313.8823334726,1822942.4007037026,-937061.6389629969,-578758.7027635786
2022-02-14,1392827.126636588,-268309.7150783619,-1037751.8612706359,-103753.4794844687,2079462.6774162485,723179.5050538055
2022-02-15,1475460.726062919,-69879.14096013544,-778754.2382305588,-209162.84415934514,1976117.7507944913,557139.1986184684
2022-02-16,1819064.785444297,-168973.69483172268,-1374273.747450089,-433077.59578573797,3055857.1529783043,739532.6705335393
2022-02-17,994990.0614491999,-20158.178028589988,-1752566.84535522,-1759764.480823053,3610059.0394651955,917420.5261908658
2022-02-18,192558.19590594992,-77155.5289683989,-987051.4957926478,-1662357.6292243917,2406562.8094862914,512560.04040509847
2022-02-21,613749.0226632897,-10164.29575625289,-361741.32136401586,-1300009.867490517,1852570.3007572726,433094.206516805
2022-02-22,1428074.6625051294,-254295.5974644239,-470084.1697492898,1884219.1186917895,-305582.5334275074,573817.8444545652
2022-02-23,3210332.530439319,-119742.86631269555,-508596.0473334769,2915293.817866586,691270.6684481539,232106.95777075435
2022-02-24,8696.771743780002,-115025.64251330256,-255118.34553673328,132199.62102932297,-23118.392784205964,269759.53154869797
